ir=27,parent=1,type=2,op=-1,a=5,b=7
ir=19,parent=6,type=2,op=0,a=8,b=9
ir=29,parent=7,type=-1,op=-1,a=-1,b=-1
ir=19,parent=7,type=2,op=-1,a=10,b=11
ir=8,parent=9,type=2,op=18,a=11,b=13
ir=6,parent=10,type=2,op=-1,a=12,b=-1
ir=5,parent=11,type=8,op=-1,a=-1,b=-1
ir=3,parent=10,type=2,op=-1,a=-1,b=-1
ir=19,parent=6,type=2,op=1,a=15,b=16
ir=29,parent=14,type=-1,op=-1,a=-1,b=-1
ir=19,parent=14,type=2,op=-1,a=17,b=18
ir=8,parent=16,type=2,op=17,a=18,b=20
ir=6,parent=17,type=2,op=-1,a=19,b=-1
ir=5,parent=18,type=8,op=-1,a=-1,b=-1
ir=3,parent=17,type=2,op=-1,a=-1,b=-1
ir=19,parent=6,type=2,op=2,a=22,b=23
ir=29,parent=21,type=-1,op=-1,a=-1,b=-1
ir=19,parent=21,type=2,op=-1,a=24,b=26
ir=8,parent=23,type=2,op=14,a=25,b=26
ir=3,parent=24,type=2,op=-1,a=-1,b=-1
ir=6,parent=24,type=2,op=-1,a=27,b=-1
ir=5,parent=26,type=8,op=-1,a=-1,b=-1
ir=19,parent=6,type=2,op=3,a=29,b=30
ir=29,parent=28,type=-1,op=-1,a=-1,b=-1
ir=19,parent=28,type=2,op=-1,a=31,b=34
ir=8,parent=30,type=2,op=14,a=32,b=34
ir=6,parent=31,type=2,op=-1,a=33,b=-1
ir=5,parent=32,type=8,op=-1,a=-1,b=-1
ir=6,parent=31,type=2,op=-1,a=35,b=-1
ir=5,parent=34,type=8,op=-1,a=-1,b=-1
ir=0,parent=-1,type=26,op=-1,a=37,b=38
ir=1,parent=36,type=26,op=-1,a=75,b=-1
ir=10,parent=36,type=2,op=-1,a=-1,b=-1
ir=17,parent=37,type=27,op=-1,a=43,b=-1
ir=17,parent=37,type=2,op=-1,a=44,b=-1
ir=17,parent=49,type=26,op=-1,a=51,b=-1
ir=17,parent=49,type=2,op=-1,a=72,b=-1
ir=14,parent=39,type=27,op=-1,a=-1,b=-1
ir=3,parent=40,type=2,op=-1,a=-1,b=-1
ir=8,parent=48,type=-1,op=28,a=46,b=47
ir=5,parent=45,type=2,op=-1,a=40,b=-1
ir=3,parent=45,type=2,op=-1,a=-1,b=-1
ir=20,parent=37,type=0,op=-1,a=45,b=49
ir=19,parent=48,type=2,op=-1,a=41,b=42
ir=5,parent=41,type=2,op=-1,a=-1,b=-1
ir=34,parent=41,type=26,op=-1,a=50,b=52
ir=19,parent=51,type=26,op=-1,a=53,b=55
ir=8,parent=52,type=-1,op=23,a=50,b=54
ir=3,parent=53,type=2,op=-1,a=-1,b=-1
ir=19,parent=52,type=26,op=-1,a=56,b=56
ir=26,parent=55,type=26,op=11,a=-1,b=-1
ir=19,parent=51,type=26,op=-1,a=58,b=60
ir=8,parent=57,type=-1,op=23,a=50,b=59
ir=3,parent=58,type=2,op=-1,a=-1,b=-1
ir=19,parent=57,type=26,op=-1,a=61,b=61
ir=26,parent=60,type=26,op=11,a=-1,b=-1
ir=19,parent=51,type=26,op=-1,a=63,b=65
ir=8,parent=62,type=-1,op=23,a=50,b=64
ir=3,parent=63,type=2,op=-1,a=-1,b=-1
ir=19,parent=62,type=26,op=-1,a=66,b=66
ir=26,parent=65,type=26,op=11,a=-1,b=-1
ir=19,parent=51,type=26,op=-1,a=68,b=68
ir=26,parent=67,type=26,op=11,a=-1,b=-1
ir=9,parent=49,type=-1,op=-204,a=70,b=71
ir=5,parent=69,type=27,op=-1,a=39,b=-1
ir=5,parent=69,type=26,op=-1,a=41,b=-1
ir=8,parent=42,type=2,op=14,a=73,b=74
ir=5,parent=72,type=2,op=-1,a=42,b=-1
ir=3,parent=72,type=2,op=-1,a=-1,b=-1
ir=15,parent=37,type=26,op=5,a=76,b=77
ir=5,parent=75,type=27,op=-1,a=39,b=-1
ir=3,parent=75,type=2,op=-1,a=-1,b=-1
ir=11,parent=-1,type=-1,op=-1,a=-1,b=-1
