ir = 0,0,-1,1,0,-1,1,-1,-1,0
ir = 1,1,0,25,0,-1,14,-1,-1,0
ir = 2,17,1,6,1,-1,5,-1,3,1
ir = 3,17,1,13,2,-1,8,-1,9,1
ir = 4,17,9,19,2,-1,11,-1,-1,1
ir = 5,14,2,8,-1,-1,6,-1,-1,0
ir = 6,3,5,10,-1,-1,-1,-1,7,0
ir = 7,3,5,12,-1,-1,-1,-1,-1,0
ir = 8,3,3,15,-1,-1,-1,-1,-1,0
ir = 9,6,1,16,-1,-208,10,4,14,0
ir = 10,5,9,17,1,-1,2,-1,4,0
ir = 11,8,4,21,-1,14,12,13,-1,0
ir = 12,5,11,22,2,-1,3,-1,13,0
ir = 13,5,11,23,5,-1,-1,-1,-1,0
ir = 14,5,1,25,2,-1,3,-1,-1,0
ir = 15,11,-1,26,-1,-1,16,-1,-1,0
ir = 16,6,15,28,0,-1,-1,-1,-1,0
