ir = 0,0,-1,0,1,23,-1,1,2,-1
ir = 1,1,0,0,1,23,-1,3,-1,-1
ir = 2,10,0,8,1,8,-1,-1,-1,-1
ir = 3,8,1,-1,1,23,27,4,5,-1
ir = 4,5,3,8,1,8,-1,-1,-1,5
ir = 5,6,3,-1,1,8,-1,6,-1,-1
ir = 6,3,5,-1,1,2,-1,-1,-1,-1
ir = 7,0,-1,4,1,23,-1,8,9,10
ir = 8,1,7,4,1,23,-1,29,-1,-1
ir = 9,10,7,9,1,1,-1,-1,-1,-1
ir = 10,10,7,5,0,1,-1,-1,-1,11
ir = 11,10,7,6,1,1,-1,-1,-1,-1
ir = 12,17,8,7,1,13,-1,13,-1,21
ir = 13,9,12,-1,1,13,-202,14,15,-1
ir = 14,5,13,9,1,1,-1,-1,-1,15
ir = 15,9,13,-1,1,13,-1,-1,-1,-1
ir = 16,8,15,-1,1,13,14,17,19,-1
ir = 17,13,16,0,1,13,11,18,-1,19
ir = 18,5,17,5,0,1,-1,-1,-1,-1
ir = 19,9,16,-1,1,13,-201,20,-1,-1
ir = 20,5,19,6,1,1,-1,-1,-1,-1
ir = 21,9,8,-1,1,23,-1,-1,-1,-1
ir = 22,8,21,-1,1,23,-24,23,25,29
ir = 23,6,22,0,1,23,-1,24,-1,25
ir = 24,5,23,7,1,13,-1,12,-1,-1
ir = 25,8,22,-1,1,23,23,26,27,-1
ir = 26,5,25,7,1,13,-1,12,-1,27
ir = 27,6,25,-1,1,8,-1,28,-1,-1
ir = 28,3,27,-1,1,2,-1,-1,-1,-1
ir = 29,18,21,-1,1,23,-1,22,30,32
ir = 30,19,29,-1,1,23,-1,31,31,32
ir = 31,4,30,-1,1,23,-1,-1,-1,-1
ir = 32,19,29,-1,1,23,-1,33,33,-1
ir = 33,4,32,-1,1,23,-1,-1,-1,-1
