0:0,-1,-1,1,2,1,11
1:1,0,-1,40,-1,1,11
2:10,0,-1,-1,-1,1,11
3:10,0,-1,-1,-1,1,11
4:10,0,-1,-1,-1,1,11
5:17,1,-1,10,-1,1,11
6:17,1,-1,12,-1,1,2
7:17,17,-1,18,-1,1,11
8:17,17,-1,34,-1,1,11
9:17,17,-1,37,-1,1,2
10:6,5,-1,11,-1,1,11
11:3,10,-1,-1,-1,1,2
12:3,6,-1,-1,-1,1,2
13:8,16,28,14,15,1,23
14:5,13,-1,6,-1,1,2
15:3,13,-1,-1,-1,1,2
16:20,1,-1,13,17,1,0
17:19,16,-1,7,9,1,2
18:8,7,18,19,32,1,11
19:8,18,14,41,28,1,11
20:8,41,18,21,22,1,11
21:5,20,-1,-1,-1,1,11
22:6,20,-1,23,-1,1,11
23:3,22,-1,-1,-1,1,2
24:8,41,18,25,26,1,11
25:5,24,-1,-1,-1,1,11
26:6,24,-1,27,-1,1,11
27:3,26,-1,-1,-1,1,2
28:8,19,18,29,30,1,11
29:5,28,-1,-1,-1,1,11
30:6,28,-1,31,-1,1,11
31:3,30,-1,-1,-1,1,2
32:6,18,-1,33,-1,1,11
33:3,32,-1,-1,-1,1,2
34:8,8,14,35,36,1,11
35:5,34,-1,8,-1,1,11
36:5,34,-1,7,-1,1,11
37:8,9,14,38,39,1,2
38:5,37,-1,9,-1,1,2
39:3,37,-1,-1,-1,1,2
40:5,1,-1,5,-1,1,11
41:8,19,14,20,24,1,11
42:11,-1,-1,-1,-1,1,2
